0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
126.0,5560.5113033694215,-4102.814237540122,3204.3238426353782,-1617.2243683892302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.7624104,0.0
126.0,5812.079413788859,-4091.6543760723434,3689.7478972841054,-1798.2299163946882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.7624104,0.0
127.0,5449.266109237447,-3992.0720599521883,3953.298647161573,-2170.419150135014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.778304,0.0
127.0,5777.302084100898,-3673.845842672512,4326.363017491531,-2468.8295074994676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.778304,0.0
128.0,5650.2184136565775,-4036.771344222594,3860.5640878602862,-2154.442297524307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.7790356,0.0
128.0,5915.036989619024,-4252.842194212601,4343.575907037593,-2538.0793650289997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.7790356,0.0
129.0,5665.507124675438,-4618.7128669777885,3913.513591432944,-2486.059226595331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.7926283,0.0
129.0,5794.544892846607,-4772.4134054067545,4237.9723519887775,-2197.039758019615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.7926283,0.0
130.0,5972.2350195413455,-4863.6389150759205,4569.817414957099,-2484.6174951624125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8083553,0.0
130.0,5488.639775970951,-4487.79205917893,4274.167103759944,-2406.4629358383827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8083553,0.0
131.0,5450.492796422914,-4196.392144281417,4042.394283805974,-2735.2712000426836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8092804,0.0
131.0,5712.985154612921,-4168.054922317155,3619.7014410640113,-2882.901880843565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8092804,0.0
132.0,5551.146593880374,-3931.554868819192,4035.555876736995,-3056.453808237333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8227282,0.0
132.0,5789.89993710164,-3665.5787938204594,4346.253675405867,-3417.7356237568893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8227282,0.0
133.0,5550.682846285868,-4107.461063235067,4753.738214978017,-3238.130668284837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8382573,0.0
133.0,5984.275627448689,-4197.186873022001,4393.9878884903155,-3448.7749234391376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8382573,0.0
134.0,5682.8172516203485,-4589.820269870106,3940.4240415641107,-3429.460210117977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8389509,0.0
134.0,5780.697913260665,-4788.268711268902,4235.199216171633,-3194.897424797062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8389509,0.0
135.0,5947.250617887359,-4877.134344066028,4535.329927515704,-3487.4529687808827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8524835,0.0
135.0,6387.405053522438,-4556.125641219318,4198.338762208354,-3478.5538768363185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8524835,0.0
136.0,6542.829685830977,-4125.694945469033,4156.268627606798,-3604.880217539612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.868268,0.0
136.0,6572.943360274192,-4250.919885635376,4487.967834476847,-3986.875468963757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.868268,0.0
137.0,6662.278350515757,-3844.5460963500664,4143.334183610044,-3906.961286710575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8690112,0.0
137.0,6774.144368040375,-3660.627166279126,4350.365695407148,-3424.890052372124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8690112,0.0
138.0,6496.870055275504,-4127.125457202084,4714.418776793871,-3269.841280009132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8826544,0.0
138.0,6968.804290784057,-4190.365295502823,4412.879993116483,-3436.9904986787587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8826544,0.0
139.0,6738.662067210767,-4541.455883643124,4007.946065314114,-3360.208482638467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.898342,0.0
139.0,6712.286422773264,-4829.351512282155,4176.518315916881,-3245.430952998344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.898342,0.0
140.0,6896.315679892898,-4905.407987731043,4516.639777487144,-3518.651214211248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8990724,0.0
140.0,7383.3348018727265,-4541.181000996381,4219.160655211657,-3452.834584841039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.8990724,0.0
141.0,7507.374193753116,-4115.8590085855685,4166.989050829783,-3594.2963006650098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9127493,0.0
141.0,7392.591054263059,-4354.444056308828,4352.992975126021,-3166.2423113365658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9127493,0.0
142.0,7787.438471884932,-4718.727141542826,4285.463471576106,-2774.562588977162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9282348,0.0
142.0,7759.770692012738,-4640.767057016492,4372.055245200172,-2440.4156175861135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9282348,0.0
143.0,7459.8961638156325,-5129.884262871463,4706.035791043192,-2317.5673838416114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9290085,0.0
