0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
170.0,-57.04469402413815,3.0012697144411504,3.7118507060222328,3.0012697144411504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.703128,0.0
170.0,-30.52132353838533,19.53162751859054,20.002854913007468,25.751081144902855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.703128,0.0
171.0,-106.67690633609891,6.752389369998127,2.1822316241450608,3.2069642120040953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.703919,0.0
171.0,-5.396675636060536,8.958930343855172,1.5015698322094977,1.8867795276455581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.703919,0.0
172.0,-69.01611378230155,15.653351264540106,12.867125797551125,16.77158135129139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7174292,0.0
172.0,-55.365478944033384,12.478176202159375,3.6445325068198144,9.87146593304351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7174292,0.0
173.0,-14.364955729804933,3.947464403230697,-1.4716506325639784,5.955790679436177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7330356,0.0
173.0,-78.86701026558876,6.572874172125012,6.382139274384826,12.792327798437327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7330356,0.0
174.0,-20.10944206174463,18.31989993294701,14.819353574421257,20.38806460844353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.733821,0.0
174.0,-72.78219303768128,8.513882249128073,-0.009349749889224768,10.25293572852388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.733821,0.0
175.0,-41.613866806961596,0.3309811460785568,-1.1911581358872354,6.793528269510716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7637444,0.0
175.0,-10.333343577571213,18.865925326477736,15.597252765204757,17.220369345974177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7637444,0.0
176.0,-88.13822225574404,7.9902962553314865,-0.9966833381913602,6.976783367339522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7645326,0.0
176.0,9.22259329073131,5.084393989760429,0.4543978446163237,6.3783993744291365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7645326,0.0
177.0,-69.65937657468021,19.310973421204835,8.091273554135114,18.402177731972188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7652547,0.0
177.0,-58.03202761244029,9.08234704239294,7.358253162819892,11.767595210578293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7652547,0.0
178.0,-13.400061541236937,11.629218912217766,-2.889072715770453,9.288041539955884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7774377,0.0
178.0,-85.5950902858749,9.168364741373807,6.7000307706184685,8.992589443456382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7774377,0.0
179.0,19.406340870074928,20.477822207380086,15.571073465514928,22.628264681901783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7931304,0.0
179.0,-61.67095026932657,6.483116573188454,4.299014999065548,5.866033080499619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7931304,0.0
180.0,-100.03110411483794,1.6661254302598536,-1.0789611372165382,1.0378222377039492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7939608,0.0
180.0,-37.44761825632304,21.1771834990941,11.244009216781706,21.08742590015754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.7939608,0.0
181.0,-121.70756425801665,7.391912262421101,5.43594458559528,8.525101948995143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8075247,0.0
181.0,-27.151673678308725,-1.325794534292072,-2.133612924721092,4.037222002167255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8075247,0.0
182.0,-68.27935349103063,13.693643687758595,16.894998049829155,17.9533897372894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.82312,0.0
182.0,-46.59541354794055,12.635252000298351,9.48625623760745,14.591219677124172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.82312,0.0
183.0,65.04060012940317,0.7311504413373768,-1.647425930481404,5.507002684753388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8237808,0.0
183.0,-151.372450706549,9.164624841418117,5.065694489981979,10.563347424846143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8237808,0.0
184.0,-44.95359746739268,20.919130402151495,13.783401286695153,20.152450911235064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8375497,0.0
184.0,-74.67832231521606,7.167518265079707,-2.084994225297123,2.462724120821804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8375497,0.0
185.0,-32.13322041928768,4.2840553992427886,-3.0872874134220183,5.43968448555097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8531277,0.0
185.0,3.2798922611400485,22.77786068012938,15.859045762103051,19.834559415001422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8531277,0.0
186.0,-119.30280858650804,9.699430535081774,5.869772980455309,7.092720265965909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.85383,0.0
186.0,-6.600923421792686,3.9212851035408676,-1.774582528974861,4.055921501945704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.85383,0.0
187.0,-58.129265011288226,13.746002287138253,11.86857250938192,20.78449400374666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.867471,0.0
187.0,-54.80075405072421,7.84818005701527,9.531135037075728,10.855059621389955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.867471,0.0
188.0,4.551458246074617,5.708957282360643,5.42098498577252,8.723316646646708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8830743,0.0
188.0,-7.203047314658761,10.342693327460438,2.4776837206445634,8.525101948995143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.8830743,0.0
189.0,-4.951627541333437,15.436437067110091,17.11191224725917,17.190450146328658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.883926,0.0
189.0,-125.99722950719297,2.5861408193595707,1.1836783359758556,7.290934963617474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.883926,0.0
190.0,-38.55836854316294,5.989449779037386,-0.8358676400966942,6.748649470042437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783527907.897361,0.0
