0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
166.0,-9574.256083564833,1.572627931367606,-0.5778145431540906,7.610696409828961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.5823483,0.0
166.0,-9603.737714915536,10.896198520902544,8.184771053027362,12.147195056080818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.5823483,0.0
167.0,-9152.988142705988,15.701969963964075,13.49542899010703,18.624701779335737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.5980134,0.0
167.0,-8799.889228289481,-0.6002539428882301,7.328333963174373,8.42225470021367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.5980134,0.0
168.0,-8503.154346105177,10.080900330562145,4.654305494856089,9.68260098528117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.5986807,0.0
168.0,-8977.534476184752,17.366225444246083,14.497722178231925,15.651481314562261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.5986807,0.0
169.0,-9041.374568428379,11.363686015363783,5.114313189405948,9.6339822858572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.6121895,0.0
169.0,-9457.79559894465,1.247256635222584,-1.090180837083608,8.609249697998166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.6121895,0.0
170.0,-9762.604925133288,8.162331653293222,8.820554045494646,12.012558657675982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.627896,0.0
170.0,-10199.526217256673,11.816213910002261,11.87231240933761,18.804216977208853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.627896,0.0
171.0,-10545.7867246042,7.246056164149195,2.4328049211762846,5.437814535573125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.628811,0.0
171.0,-10586.446916922461,5.555621384177357,5.2938283872790635,13.31404384225607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.628811,0.0
172.0,-10141.66996494215,8.506402449216694,12.777368198614568,15.191473620012403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.6422713,0.0
172.0,-9775.530019380152,5.548141584265977,9.374059238936752,9.723739884793758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783530302.6422713,0.0
